tonality,vector_means
9.0,-426.99212646484375
6.0,-186.1106719970703
8.0,-353.5545959472656
7.0,-229.30706787109372
8.0,-707.64306640625
9.0,-324.5597229003906
10.0,-312.6129455566406
10.0,-112.45613861083984
7.0,-169.6692352294922
9.0,-714.0394897460938
8.0,-73.50816345214844
10.0,-448.97412109375
10.0,-446.5123596191406
8.0,-69.65876007080078
9.0,-574.8191528320312
10.0,-375.6970520019531
10.0,-549.1759643554689
7.0,-70.3353271484375
9.0,-260.182861328125
10.0,-156.25279235839844
10.0,-255.7860107421875
8.0,-134.04751586914062
10.0,-544.9448852539061
9.0,-521.7255859375
9.0,-332.7423400878906
9.0,-350.8011474609375
10.0,-468.1719970703125
9.0,-511.5873107910156
9.0,-253.29769897460938
8.0,-410.36566162109375
10.0,-323.24786376953125
7.0,-480.4931640625
2.0,-94.55034637451172
10.0,-413.3458862304688
3.0,-2946.598388671875
7.0,-881.3364868164062
10.0,-30.891069412231445
10.0,-227.84567260742188
8.0,-860.60205078125
5.0,-108.45794677734376
9.0,-128.06047058105472
5.0,-2167.618896484375
8.0,-835.5736083984375
7.0,-314.1900329589844
7.0,-348.7857360839844
6.0,-746.628173828125
7.0,-111.90157318115234
9.0,-65.12254333496094
9.0,-846.2235717773438
9.0,-458.5506896972656
8.0,-525.305419921875
9.0,-373.1398010253906
7.0,-820.5021362304688
9.0,-451.5122985839844
8.0,-792.318115234375
10.0,-553.4146728515625
10.0,-240.74859619140625
9.0,-640.4442749023438
8.0,-264.92642211914057
10.0,-702.7698364257812
9.0,-195.7413330078125
9.0,-306.40380859375
6.0,-247.1826171875
9.0,-682.443603515625
4.0,-669.263916015625
9.0,-849.3845825195312
9.0,-13.450051307678224
5.0,-203.68507385253903
10.0,-111.93829345703124
9.0,-80.13296508789062
10.0,-195.6858673095703
8.0,-264.144287109375
10.0,-545.8379516601561
10.0,-374.8297424316406
9.0,-192.49166870117188
10.0,-564.782958984375
10.0,-406.2524108886719
10.0,-486.4425964355469
4.0,-206.3780975341797
7.0,-218.59637451171875
9.0,-190.6828155517578
9.0,-698.610107421875
8.0,-375.17364501953125
6.0,-175.39694213867188
8.0,-217.42413330078125
10.0,-298.5861511230469
9.0,-393.9415283203125
10.0,-83.09435272216797
9.0,-341.5101623535156
9.0,-157.94192504882812
6.0,-138.95791625976562
9.0,-9.479606628417967
9.0,-207.63177490234372
9.0,-46.28927230834961
9.0,-93.39395904541016
7.0,-167.58665466308594
3.0,-163.74266052246094
9.0,-43.0888900756836
8.0,-79.57735443115234
9.0,-154.67958068847656
6.0,-172.38059997558594
3.0,-90.5282974243164
9.0,-250.3324279785156
9.0,-288.3042907714844
10.0,-216.674072265625
9.0,-288.7187194824219
9.0,-755.1517944335938
10.0,-508.0623779296875
10.0,-494.3997802734375
8.0,-325.23675537109375
10.0,-41.230712890625
10.0,-60.13042449951172
10.0,-358.5399169921875
9.0,-192.0037078857422
9.0,-267.49038696289057
7.0,-112.59872436523438
9.0,-418.09075927734375
10.0,-121.64358520507812
9.0,-13.891993522644045
10.0,-638.0826416015625
10.0,-51.2036247253418
8.0,-152.54383850097656
8.0,-280.87191772460943
6.0,-419.53692626953125
10.0,-993.1240234375
9.0,-125.0683135986328
9.0,-172.80628967285156
10.0,-269.8843994140625
9.0,-358.4473571777344
10.0,-44.05644226074219
10.0,-31.36135292053223
10.0,-74.9587173461914
10.0,-313.75048828125
9.0,-150.826171875
9.0,-281.29415893554693
9.0,-137.45487976074222
9.0,-136.84637451171878
9.0,-481.6007995605469
7.0,-785.1041870117188
6.0,-134.01669311523438
8.0,-511.0028991699219
9.0,-243.3972320556641
9.0,-265.94094848632807
4.0,-100.1987762451172
9.0,-225.7747802734375
10.0,-46.61522674560547
8.0,-336.1378173828125
8.0,-334.6026916503906
9.0,-400.0011596679688
7.0,-578.4580078125
10.0,-1242.9896240234375
8.0,-340.7138366699219
10.0,-421.1851196289063
9.0,-402.2138977050781
8.0,-445.7481384277344
8.0,-430.20513916015625
7.0,-551.052734375
10.0,-361.95306396484375
1.0,-286.98699951171875
8.0,-309.3875732421875
10.0,-70.42169189453125
9.0,-105.67449951171876
8.0,-132.21305847167972
9.0,-249.5113677978516
10.0,-611.3869018554688
9.0,-188.02191162109372
7.0,-1312.94921875
9.0,-58.67721557617188
5.0,-223.08990478515625
8.0,-348.084716796875
8.0,-300.1724853515625
8.0,-266.19540405273443
6.0,-573.7219848632812
9.0,-143.2616424560547
9.0,-181.58175659179688
9.0,-1222.091796875
9.0,-480.00286865234375
10.0,-353.83843994140625
7.0,-170.4372100830078
9.0,-603.4713745117188
9.0,-272.40365600585943
7.0,-305.30889892578125
8.0,-335.9628601074219
9.0,-273.79293823242193
10.0,-726.55908203125
6.0,-258.8485107421875
8.0,-248.7393341064453
8.0,-344.536376953125
9.0,-403.8202819824219
10.0,-226.24392700195312
7.0,-429.6492614746094
10.0,-387.0650329589844
7.0,-349.2457275390625
7.0,-588.74365234375
9.0,-336.8941345214844
